Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Materials,fe3_o2,al2_o3,ca_o,mg_o,s_o3,loi,fine,gravity,na2_si_o3,na_o_h,fine_aggregates,coarse_aggregates,bulk_density,fineness_modulus,water_absorption,duration,temperature,totalCostsTon,totalCo2_footprintTon,totalDelivery_time,fc_28dGroundTruth,fc_28d_Lab_validation
0,360,162.0,0.45,14.4,1862.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,79.53,73.63,5,55.37,NaN
1,360,180.0,0.5,14.4,1844.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,81.77,77.69,5,59.79,NaN
2,360,198.0,0.55,14.4,1826.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,84.0,81.74,5,51.61,NaN
3,360,216.0,0.6,14.4,1808.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,86.24,85.8,5,46.68,NaN
4,370,166.5,0.45,14.8,1847.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,80.83,75.68,5,55.62,NaN
5,370,185.0,0.5,14.8,1829.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,83.13,79.85,5,59.88,NaN
6,370,203.5,0.55,14.8,1810.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,85.42,84.01,5,50.73,NaN
7,370,222.0,0.6,14.8,1792.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,87.72,88.18,5,46.84,NaN
8,380,171.0,0.45,15.2,1833.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,82.12,77.73,5,55.85,NaN
9,380,190.0,0.5,15.2,1814.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,84.48,82.0,5,59.98,NaN
