Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Materials,fe3_o2,al2_o3,ca_o,mg_o,s_o3,loi,fine,gravity,na2_si_o3,na_o_h,fine_aggregates,coarse_aggregates,bulk_density,fineness_modulus,water_absorption,duration,temperature,totalCostsTon,totalCo2_footprintTon,totalDelivery_time,fc_28dGroundTruth,fc_28d_Lab_validation
0,450,162.0,0.45,14.4,1862.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,79.53,73.63,5,55.37,
1,450,180.0,0.5,14.4,1844.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,81.77,77.69,5,59.79,
2,450,198.0,0.55,14.4,1826.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,84.0,81.74,5,51.61,
3,450,216.0,0.6,14.4,1808.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,86.24,85.8,5,46.68,
4,440,166.5,0.45,14.8,1847.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,80.83,75.68,5,55.62,
5,440,185.0,0.5,14.8,1829.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,83.13,79.85,5,59.88,
6,440,203.5,0.55,14.8,1810.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,85.42,84.01,5,50.73,
7,440,222.0,0.6,14.8,1792.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,87.72,88.18,5,46.84,
8,430,171.0,0.45,15.2,1833.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,82.12,77.73,5,55.85,
9,430,190.0,0.5,15.2,1814.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,84.48,82.0,5,59.98,
10,430,209.0,0.55,15.2,1795.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,86.84,86.28,5,49.86,
11,430,228.0,0.6,15.2,1776.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,89.21,90.56,5,46.98,
12,420,175.5,0.45,15.6,1818.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,83.42,79.77,5,56.1,
13,420,195.0,0.5,15.6,1799.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,85.84,84.16,5,60.08,
14,420,214.5,0.55,15.6,1779.5,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,88.26,88.55,5,49.0,
15,420,234.0,0.6,15.6,1760.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,90.69,92.94,5,47.13,
16,410,180.0,0.45,16.0,1804.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,84.71,81.82,5,56.36,
17,410,200.0,0.5,16.0,1784.0,"Fly Ash/GGBFS-0.5/0.5, Activator: Water/NaOH/Na2SiO3-0.72/0.08/0.2, Sulphonated Naphthalene formaldehyde-based superplactisizer (Rao et al. 2018), A/B-0.55/0.45, Ambient curing (Rao et al. 2018)",2.52,23.27,18.3,4.57,0.62,3.49,403.0,2.73,20,8,45,55,1.48,5.17,1.18,1,25,87.2,86.32,5,60.18,
