Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
0,450,162.0,0.45,14.4,1862.0,0.5,0.5,25,55.37
1,450,180.0,0.5,14.4,1844.0,0.5,0.5,25,59.79
2,450,198.0,0.55,14.4,1826.0,0.5,0.5,25,51.61
3,450,216.0,0.6,14.4,1808.0,0.5,0.5,25,46.68
4,440,166.5,0.45,14.8,1847.5,0.5,0.5,25,55.62
5,440,185.0,0.5,14.8,1829.0,0.5,0.5,25,59.88
6,440,203.5,0.55,14.8,1810.5,0.5,0.5,25,50.73
7,440,222.0,0.6,14.8,1792.0,0.5,0.5,25,46.84
8,430,171.0,0.45,15.2,1833.0,0.5,0.5,25,55.85
9,430,190.0,0.5,15.2,1814.0,0.5,0.5,25,59.98
10,430,209.0,0.55,15.2,1795.0,0.5,0.5,25,49.86
11,430,228.0,0.6,15.2,1776.0,0.5,0.5,25,46.98
12,420,175.5,0.45,15.6,1818.5,0.5,0.5,25,56.1
13,420,195.0,0.5,15.6,1799.0,0.5,0.5,25,60.08
14,420,214.5,0.55,15.6,1779.5,0.5,0.5,25,49.0
15,420,234.0,0.6,15.6,1760.0,0.5,0.5,25,47.13
16,410,180.0,0.45,16.0,1804.0,0.5,0.5,25,56.36
17,410,200.0,0.5,16.0,1784.0,0.5,0.5,25,60.18
18,410,220.0,0.55,16.0,1764.0,0.5,0.5,25,48.14
19,410,240.0,0.6,16.0,1744.0,0.5,0.5,25,47.28
20,400,184.5,0.45,16.4,1789.5,0.5,0.5,25,56.62
21,400,205.0,0.5,16.4,1769.0,0.5,0.5,25,60.28
22,400,225.5,0.55,16.4,1748.5,0.5,0.5,25,47.28
23,400,246.0,0.6,16.4,1728.0,0.5,0.5,25,47.43
24,390,189.0,0.45,16.8,1775.0,0.5,0.5,25,56.86
25,390,210.0,0.5,16.8,1754.0,0.5,0.5,25,60.38
26,390,231.0,0.55,16.8,1733.0,0.5,0.5,25,46.48
27,390,252.0,0.6,16.8,1712.0,0.5,0.5,25,47.57
28,380,193.5,0.45,17.2,1760.5,0.5,0.5,25,54.14
29,380,215.0,0.5,17.2,1739.0,0.5,0.5,25,59.75
30,380,236.5,0.55,17.2,1717.5,0.5,0.5,25,47.15
31,380,258.0,0.6,17.2,1696.0,0.5,0.5,25,47.59
32,370,198.0,0.45,17.6,1746.0,0.5,0.5,25,51.9
33,370,220.0,0.5,17.6,1724.0,0.5,0.5,25,59.23
34,370,242.0,0.55,17.6,1702.0,0.5,0.5,25,47.71
35,370,264.0,0.6,17.6,1680.0,0.5,0.5,25,47.61
36,360,202.5,0.45,18.0,1731.5,0.5,0.5,25,48.91
37,360,225.0,0.5,18.0,1709.0,0.5,0.5,25,58.53
38,360,247.5,0.55,18.0,1686.5,0.5,0.5,25,48.45
39,360,270.0,0.6,18.0,1664.0,0.5,0.5,25,47.64
40,450,162.0,0.45,14.4,1862.0,0.5,0.5,60,61.96
41,450,180.0,0.5,14.4,1844.0,0.5,0.5,60,65.26
42,450,198.0,0.55,14.4,1826.0,0.5,0.5,60,53.39
43,450,216.0,0.6,14.4,1808.0,0.5,0.5,60,52.4
44,440,166.5,0.45,14.8,1847.5,0.5,0.5,60,61.22
45,440,185.0,0.5,14.8,1829.0,0.5,0.5,60,65.09
46,440,203.5,0.55,14.8,1810.5,0.5,0.5,60,52.93
47,440,222.0,0.6,14.8,1792.0,0.5,0.5,60,51.9
48,430,171.0,0.45,15.2,1833.0,0.5,0.5,60,60.47
49,430,190.0,0.5,15.2,1814.0,0.5,0.5,60,64.93
50,430,209.0,0.55,15.2,1795.0,0.5,0.5,60,52.46
51,430,228.0,0.6,15.2,1776.0,0.5,0.5,60,51.4
52,420,175.5,0.45,15.6,1818.5,0.5,0.5,60,59.73
53,420,195.0,0.5,15.6,1799.0,0.5,0.5,60,64.76
54,420,214.5,0.55,15.6,1779.5,0.5,0.5,60,52.0
55,420,234.0,0.6,15.6,1760.0,0.5,0.5,60,50.9
56,410,180.0,0.45,16.0,1804.0,0.5,0.5,60,58.98
57,410,200.0,0.5,16.0,1784.0,0.5,0.5,60,64.6
58,410,220.0,0.55,16.0,1764.0,0.5,0.5,60,51.54
59,410,240.0,0.6,16.0,1744.0,0.5,0.5,60,50.41
60,400,184.5,0.45,16.4,1789.5,0.5,0.5,60,58.24
61,400,205.0,0.5,16.4,1769.0,0.5,0.5,60,64.43
62,400,225.5,0.55,16.4,1748.5,0.5,0.5,60,51.07
63,400,246.0,0.6,16.4,1728.0,0.5,0.5,60,49.91
64,390,189.0,0.45,16.8,1775.0,0.5,0.5,60,57.54
65,390,210.0,0.5,16.8,1754.0,0.5,0.5,60,64.28
66,390,231.0,0.55,16.8,1733.0,0.5,0.5,60,50.64
67,390,252.0,0.6,16.8,1712.0,0.5,0.5,60,49.44
68,380,193.5,0.45,17.2,1760.5,0.5,0.5,60,56.66
69,380,215.0,0.5,17.2,1739.0,0.5,0.5,60,63.47
70,380,236.5,0.55,17.2,1717.5,0.5,0.5,60,51.92
71,380,258.0,0.6,17.2,1696.0,0.5,0.5,60,50.93
72,370,198.0,0.45,17.6,1746.0,0.5,0.5,60,55.78
73,370,220.0,0.5,17.6,1724.0,0.5,0.5,60,62.65
74,370,242.0,0.55,17.6,1702.0,0.5,0.5,60,53.2
75,370,264.0,0.6,17.6,1680.0,0.5,0.5,60,52.42
76,360,202.5,0.45,18.0,1731.5,0.5,0.5,60,54.97
77,360,225.0,0.5,18.0,1709.0,0.5,0.5,60,61.9
78,360,247.5,0.55,18.0,1686.5,0.5,0.5,60,54.38
79,360,270.0,0.6,18.0,1664.0,0.5,0.5,60,53.79
80,450,162.0,0.45,14.4,1862.0,0.6,0.4,25,43.32
81,450,180.0,0.5,14.4,1844.0,0.6,0.4,25,47.92
82,450,198.0,0.55,14.4,1826.0,0.6,0.4,25,46.87
83,450,216.0,0.6,14.4,1808.0,0.6,0.4,25,43.38
84,440,166.5,0.45,14.8,1847.5,0.6,0.4,25,42.95
85,440,185.0,0.5,14.8,1829.0,0.6,0.4,25,48.47
86,440,203.5,0.55,14.8,1810.5,0.6,0.4,25,46.49
87,440,222.0,0.6,14.8,1792.0,0.6,0.4,25,46.2
88,430,171.0,0.45,15.2,1833.0,0.6,0.4,25,43.58
89,430,190.0,0.5,15.2,1814.0,0.6,0.4,25,47.91
90,430,209.0,0.55,15.2,1795.0,0.6,0.4,25,46.12
91,430,228.0,0.6,15.2,1776.0,0.6,0.4,25,46.27
92,420,175.5,0.45,15.6,1818.5,0.6,0.4,25,44.21
93,420,195.0,0.5,15.6,1799.0,0.6,0.4,25,48.75
94,420,214.5,0.55,15.6,1779.5,0.6,0.4,25,45.75
95,420,234.0,0.6,15.6,1760.0,0.6,0.4,25,46.35
96,410,180.0,0.45,16.0,1804.0,0.6,0.4,25,44.85
97,410,200.0,0.5,16.0,1784.0,0.6,0.4,25,49.59
98,410,220.0,0.55,16.0,1764.0,0.6,0.4,25,45.38
99,410,240.0,0.6,16.0,1744.0,0.6,0.4,25,46.42
100,400,184.5,0.45,16.4,1789.5,0.6,0.4,25,45.48
101,400,205.0,0.5,16.4,1769.0,0.6,0.4,25,50.43
102,400,225.5,0.55,16.4,1748.5,0.6,0.4,25,45.02
103,400,246.0,0.6,16.4,1728.0,0.6,0.4,25,46.5
104,390,189.0,0.45,16.8,1775.0,0.6,0.4,25,46.08
105,390,210.0,0.5,16.8,1754.0,0.6,0.4,25,51.22
106,390,231.0,0.55,16.8,1733.0,0.6,0.4,25,44.67
107,390,252.0,0.6,16.8,1712.0,0.6,0.4,25,46.57
108,380,193.5,0.45,17.2,1760.5,0.6,0.4,25,46.01
109,380,215.0,0.5,17.2,1739.0,0.6,0.4,25,51.04
110,380,236.5,0.55,17.2,1717.5,0.6,0.4,25,43.71
111,380,258.0,0.6,17.2,1696.0,0.6,0.4,25,46.27
112,370,198.0,0.45,17.6,1746.0,0.6,0.4,25,45.96
113,370,220.0,0.5,17.6,1724.0,0.6,0.4,25,50.89
114,370,242.0,0.55,17.6,1702.0,0.6,0.4,25,42.91
115,370,264.0,0.6,17.6,1680.0,0.6,0.4,25,46.01
116,360,202.5,0.45,18.0,1731.5,0.6,0.4,25,45.88
117,360,225.0,0.5,18.0,1709.0,0.6,0.4,25,50.69
118,360,247.5,0.55,18.0,1686.5,0.6,0.4,25,41.85
119,360,270.0,0.6,18.0,1664.0,0.6,0.4,25,45.68
120,450,162.0,0.45,14.4,1862.0,0.6,0.4,60,55.57
121,450,180.0,0.5,14.4,1844.0,0.6,0.4,60,57.37
122,450,198.0,0.55,14.4,1826.0,0.6,0.4,60,53.39
123,450,216.0,0.6,14.4,1808.0,0.6,0.4,60,51.22
124,440,166.5,0.45,14.8,1847.5,0.6,0.4,60,56.11
125,440,185.0,0.5,14.8,1829.0,0.6,0.4,60,58.2
126,440,203.5,0.55,14.8,1810.5,0.6,0.4,60,54.32
127,440,222.0,0.6,14.8,1792.0,0.6,0.4,60,52.13
128,430,171.0,0.45,15.2,1833.0,0.6,0.4,60,56.66
129,430,190.0,0.5,15.2,1814.0,0.6,0.4,60,59.03
130,430,209.0,0.55,15.2,1795.0,0.6,0.4,60,55.26
131,430,228.0,0.6,15.2,1776.0,0.6,0.4,60,53.05
132,420,175.5,0.45,15.6,1818.5,0.6,0.4,60,57.2
