Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
236.0,450.0,202.5,0.45,18.0,1731.5,0.7,0.3,60.0,38.63
155.0,440.0,264.0,0.6,17.6,1680.0,0.6,0.4,60.0,51.98
112.0,440.0,198.0,0.45,17.6,1746.0,0.6,0.4,25.0,45.96
212.0,390.0,175.5,0.45,15.6,1818.5,0.7,0.3,60.0,40.96
158.0,450.0,247.5,0.55,18.0,1686.5,0.6,0.4,60.0,54.38
154.0,440.0,242.0,0.55,17.6,1702.0,0.6,0.4,60.0,55.82
118.0,450.0,247.5,0.55,18.0,1686.5,0.6,0.4,25.0,41.85
150.0,430.0,236.5,0.55,17.2,1717.5,0.6,0.4,60.0,57.37
114.0,440.0,242.0,0.55,17.6,1702.0,0.6,0.4,25.0,42.91
146.0,420.0,231.0,0.55,16.8,1733.0,0.6,0.4,60.0,58.93
142.0,410.0,225.5,0.55,16.4,1748.5,0.6,0.4,60.0,58.06
110.0,430.0,236.5,0.55,17.2,1717.5,0.6,0.4,25.0,43.71
106.0,420.0,231.0,0.55,16.8,1733.0,0.6,0.4,25.0,44.67
138.0,400.0,220.0,0.55,16.0,1764.0,0.6,0.4,60.0,57.12
