Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
76.0,450.0,202.5,0.45,18.0,1731.5,0.5,0.5,60.0,54.97
221.0,410.0,205.0,0.5,16.4,1769.0,0.7,0.3,60.0,43.35
218.0,400.0,220.0,0.55,16.0,1764.0,0.7,0.3,60.0,32.12
52.0,390.0,175.5,0.45,15.6,1818.5,0.5,0.5,60.0,59.73
1.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,25.0,59.79
16.0,400.0,180.0,0.45,16.0,1804.0,0.5,0.5,25.0,56.36
3.0,360.0,216.0,0.6,14.4,1808.0,0.5,0.5,25.0,46.68
162.0,360.0,198.0,0.55,14.4,1826.0,0.7,0.3,25.0,31.11
5.0,370.0,185.0,0.5,14.8,1829.0,0.5,0.5,25.0,59.88
81.0,360.0,180.0,0.5,14.4,1844.0,0.6,0.4,25.0,47.92
42.0,360.0,198.0,0.55,14.4,1826.0,0.5,0.5,60.0,53.39
9.0,380.0,190.0,0.5,15.2,1814.0,0.5,0.5,25.0,59.98
13.0,390.0,195.0,0.5,15.6,1799.0,0.5,0.5,25.0,60.08
4.0,370.0,166.5,0.45,14.8,1847.5,0.5,0.5,25.0,55.62
