Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
119.0,450.0,270.0,0.6,18.0,1664.0,0.6,0.4,25.0,45.68
80.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,25.0,43.32
100.0,410.0,184.5,0.45,16.4,1789.5,0.6,0.4,25.0,45.48
93.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,25.0,48.75
211.0,380.0,228.0,0.6,15.2,1776.0,0.7,0.3,60.0,28.01
37.0,450.0,225.0,0.5,18.0,1709.0,0.5,0.5,25.0,58.53
175.0,390.0,234.0,0.6,15.6,1760.0,0.7,0.3,25.0,25.4
105.0,420.0,210.0,0.5,16.8,1754.0,0.6,0.4,25.0,51.22
206.0,370.0,203.5,0.55,14.8,1810.5,0.7,0.3,60.0,33.49
69.0,430.0,215.0,0.5,17.2,1739.0,0.5,0.5,60.0,63.47
