Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
178.0,400.0,220.0,0.55,16.0,1764.0,0.7,0.3,25.0,27.77
170.0,380.0,209.0,0.55,15.2,1795.0,0.7,0.3,25.0,29.43
64.0,420.0,189.0,0.45,16.8,1775.0,0.5,0.5,60.0,57.54
93.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,25.0,48.75
158.0,450.0,247.5,0.55,18.0,1686.5,0.6,0.4,60.0,54.38
118.0,450.0,247.5,0.55,18.0,1686.5,0.6,0.4,25.0,41.85
154.0,440.0,242.0,0.55,17.6,1702.0,0.6,0.4,60.0,55.82
114.0,440.0,242.0,0.55,17.6,1702.0,0.6,0.4,25.0,42.91
150.0,430.0,236.5,0.55,17.2,1717.5,0.6,0.4,60.0,57.37
146.0,420.0,231.0,0.55,16.8,1733.0,0.6,0.4,60.0,58.93
0.0,360.0,162.0,0.45,14.4,1862.0,0.5,0.5,25.0,55.37
1.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,25.0,59.79
2.0,360.0,198.0,0.55,14.4,1826.0,0.5,0.5,25.0,51.61
3.0,360.0,216.0,0.6,14.4,1808.0,0.5,0.5,25.0,46.68
