Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
179.0,400.0,240.0,0.6,16.0,1744.0,0.7,0.3,25.0,25.3
203.0,360.0,216.0,0.6,14.4,1808.0,0.7,0.3,60.0,25.58
181.0,410.0,205.0,0.5,16.4,1769.0,0.7,0.3,25.0,37.85
89.0,380.0,190.0,0.5,15.2,1814.0,0.6,0.4,25.0,47.91
198.0,450.0,247.5,0.55,18.0,1686.5,0.7,0.3,25.0,25.71
238.0,450.0,247.5,0.55,18.0,1686.5,0.7,0.3,60.0,35.2
234.0,440.0,242.0,0.55,17.6,1702.0,0.7,0.3,60.0,33.95
194.0,440.0,242.0,0.55,17.6,1702.0,0.7,0.3,25.0,25.88
230.0,430.0,236.5,0.55,17.2,1717.5,0.7,0.3,60.0,32.59
190.0,430.0,236.5,0.55,17.2,1717.5,0.7,0.3,25.0,26.01
226.0,420.0,231.0,0.55,16.8,1733.0,0.7,0.3,60.0,31.24
186.0,420.0,231.0,0.55,16.8,1733.0,0.7,0.3,25.0,26.17
222.0,410.0,225.5,0.55,16.4,1748.5,0.7,0.3,60.0,31.67
182.0,410.0,225.5,0.55,16.4,1748.5,0.7,0.3,25.0,26.95
