,Powderkg 0,Powderkg 1,Powderkg 2,Powderkg 3,Powderkg 4,Powderkg 5,Powderkg 6,Powderkg 7,Powderkg 8,Powderkg 9,Powderkg 10,Powderkg 11,Average Correlation
Powderkg 0,1.0,0.84,0.36,0.84,1.0,0.15,0.9,0.84,1.0,0.36,0.9,0.84,0.7525
Powderkg 1,0.84,1.0,0.1,1.0,0.84,0.2,0.81,1.0,0.84,0.1,0.81,1.0,0.7116666666666666
Powderkg 2,0.36,0.1,1.0,0.1,0.36,0.26,0.29,0.1,0.36,1.0,0.29,0.1,0.35999999999999993
Powderkg 3,0.84,1.0,0.1,1.0,0.84,0.2,0.81,1.0,0.84,0.1,0.81,1.0,0.7116666666666666
Powderkg 4,1.0,0.84,0.36,0.84,1.0,0.15,0.9,0.84,1.0,0.36,0.9,0.84,0.7525
Powderkg 5,0.15,0.2,0.26,0.2,0.15,1.0,0.47,0.2,0.15,0.26,0.47,0.2,0.30916666666666665
Powderkg 6,0.9,0.81,0.29,0.81,0.9,0.47,1.0,0.81,0.9,0.29,1.0,0.81,0.7491666666666666
Powderkg 7,0.84,1.0,0.1,1.0,0.84,0.2,0.81,1.0,0.84,0.1,0.81,1.0,0.7116666666666666
Powderkg 8,1.0,0.84,0.36,0.84,1.0,0.15,0.9,0.84,1.0,0.36,0.9,0.84,0.7525
Powderkg 9,0.36,0.1,1.0,0.1,0.36,0.26,0.29,0.1,0.36,1.0,0.29,0.1,0.35999999999999993
Powderkg 10,0.9,0.81,0.29,0.81,0.9,0.47,1.0,0.81,0.9,0.29,1.0,0.81,0.7491666666666666
Powderkg 11,0.84,1.0,0.1,1.0,0.84,0.2,0.81,1.0,0.84,0.1,0.81,1.0,0.7116666666666666
