,Powderkg 0,Powderkg 1,Powderkg 2,Powderkg 3,Powderkg 4,Powderkg 5,Powderkg 6,Powderkg 7,Powderkg 8,Powderkg 9,Average Correlation
Powderkg 0,1.0,0.48,0.25,-0.5,0.15,-0.38,-0.04,0.35,-0.35,-0.62,0.03400000000000001
Powderkg 1,0.48,1.0,-0.06,0.12,0.2,0.18,-0.43,0.34,-0.45,-0.55,0.083
Powderkg 2,0.25,-0.06,1.0,0.1,0.34,-0.05,0.31,0.52,0.26,0.1,0.277
Powderkg 3,-0.5,0.12,0.1,1.0,0.25,0.56,-0.07,-0.27,0.35,0.34,0.188
Powderkg 4,0.15,0.2,0.34,0.25,1.0,-0.3,0.21,0.27,0.24,0.04,0.24000000000000005
Powderkg 5,-0.38,0.18,-0.05,0.56,-0.3,1.0,0.1,-0.19,0.3,0.34,0.156
Powderkg 6,-0.04,-0.43,0.31,-0.07,0.21,0.1,1.0,-0.18,0.84,0.33,0.20700000000000002
Powderkg 7,0.35,0.34,0.52,-0.27,0.27,-0.19,-0.18,1.0,-0.33,0.02,0.153
Powderkg 8,-0.35,-0.45,0.26,0.35,0.24,0.3,0.84,-0.33,1.0,0.62,0.248
Powderkg 9,-0.62,-0.55,0.1,0.34,0.04,0.34,0.33,0.02,0.62,1.0,0.162
