,Powderkg 0,Powderkg 1,Powderkg 2,Powderkg 3,Powderkg 4,Powderkg 5,Powderkg 6,Powderkg 7,Powderkg 8,Powderkg 9,Powderkg 10,Average Correlation
Powderkg 0,1.0,1.0,0.54,0.5,0.51,-0.14,0.62,0.23,0.62,0.91,1.0,0.6172727272727273
Powderkg 1,1.0,1.0,0.54,0.5,0.51,-0.14,0.62,0.23,0.62,0.91,1.0,0.6172727272727273
Powderkg 2,0.54,0.54,1.0,0.17,0.52,0.13,-0.03,0.2,-0.03,0.62,0.54,0.3818181818181819
Powderkg 3,0.5,0.5,0.17,1.0,-0.18,-0.36,0.67,-0.05,0.67,0.44,0.5,0.3509090909090909
Powderkg 4,0.51,0.51,0.52,-0.18,1.0,0.35,-0.02,0.19,-0.02,0.49,0.51,0.35090909090909084
Powderkg 5,-0.14,-0.14,0.13,-0.36,0.35,1.0,-0.54,0.19,-0.54,-0.12,-0.14,-0.028181818181818186
Powderkg 6,0.62,0.62,-0.03,0.67,-0.02,-0.54,1.0,-0.01,1.0,0.66,0.62,0.41727272727272724
Powderkg 7,0.23,0.23,0.2,-0.05,0.19,0.19,-0.01,1.0,-0.01,0.22,0.23,0.22000000000000003
Powderkg 8,0.62,0.62,-0.03,0.67,-0.02,-0.54,1.0,-0.01,1.0,0.66,0.62,0.41727272727272724
Powderkg 9,0.91,0.91,0.62,0.44,0.49,-0.12,0.66,0.22,0.66,1.0,0.91,0.6090909090909091
Powderkg 10,1.0,1.0,0.54,0.5,0.51,-0.14,0.62,0.23,0.62,0.91,1.0,0.6172727272727273
