,Powderkg 0,Powderkg 1,Powderkg 2,Powderkg 3,Powderkg 4,Powderkg 5,Powderkg 6,Powderkg 7,Powderkg 8,Powderkg 9,Average Correlation
Powderkg 0,1.0,-0.02,-0.49,0.19,-0.07,-0.22,0.03,0.49,0.0,0.31,0.122
Powderkg 1,-0.02,1.0,0.01,0.28,-0.31,-0.07,-0.15,-0.15,0.12,-0.4,0.031000000000000007
Powderkg 2,-0.49,0.01,1.0,-0.51,-0.09,0.25,0.12,0.22,0.15,-0.18,0.048
Powderkg 3,0.19,0.28,-0.51,1.0,0.33,-0.12,-0.56,-0.52,0.14,-0.27,-0.004000000000000015
Powderkg 4,-0.07,-0.31,-0.09,0.33,1.0,-0.11,-0.49,-0.47,0.32,-0.06,0.005000000000000007
Powderkg 5,-0.22,-0.07,0.25,-0.12,-0.11,1.0,0.53,-0.14,-0.27,0.27,0.11200000000000002
Powderkg 6,0.03,-0.15,0.12,-0.56,-0.49,0.53,1.0,0.41,-0.3,0.48,0.10699999999999998
Powderkg 7,0.49,-0.15,0.22,-0.52,-0.47,-0.14,0.41,1.0,0.3,0.3,0.144
Powderkg 8,0.0,0.12,0.15,0.14,0.32,-0.27,-0.3,0.3,1.0,-0.27,0.119
Powderkg 9,0.31,-0.4,-0.18,-0.27,-0.06,0.27,0.48,0.3,-0.27,1.0,0.118
