,Powderkg 0,Powderkg 1,Powderkg 2,Powderkg 3,Powderkg 4,Powderkg 5,Powderkg 6,Powderkg 7,Powderkg 8,Powderkg 9,Powderkg 10,Average Correlation
Powderkg 0,1.0,0.27,0.42,0.3,0.18,0.45,0.4,0.33,0.31,0.39,0.43,0.40727272727272723
Powderkg 1,0.27,1.0,-0.29,0.37,0.44,0.89,0.28,0.2,-0.58,-0.45,0.42,0.2318181818181818
Powderkg 2,0.42,-0.29,1.0,0.34,0.06,0.06,0.36,0.33,0.52,0.66,-0.24,0.2927272727272728
Powderkg 3,0.3,0.37,0.34,1.0,0.89,0.57,0.45,0.88,-0.23,0.12,-0.48,0.38272727272727264
Powderkg 4,0.18,0.44,0.06,0.89,1.0,0.44,0.17,0.9,-0.15,0.06,-0.37,0.3290909090909091
Powderkg 5,0.45,0.89,0.06,0.57,0.44,1.0,0.62,0.35,-0.53,-0.33,0.27,0.3445454545454545
Powderkg 6,0.4,0.28,0.36,0.45,0.17,0.62,1.0,0.39,-0.23,-0.26,0.02,0.29090909090909095
Powderkg 7,0.33,0.2,0.33,0.88,0.9,0.35,0.39,1.0,0.1,0.2,-0.43,0.38636363636363635
Powderkg 8,0.31,-0.58,0.52,-0.23,-0.15,-0.53,-0.23,0.1,1.0,0.79,-0.01,0.09
Powderkg 9,0.39,-0.45,0.66,0.12,0.06,-0.33,-0.26,0.2,0.79,1.0,-0.27,0.17363636363636362
Powderkg 10,0.43,0.42,-0.24,-0.48,-0.37,0.27,0.02,-0.43,-0.01,-0.27,1.0,0.030909090909090907
