,materials 0,materials 1,materials 2,materials 3,materials 4,materials 5,materials 6,materials 7,materials 8,materials 9,Average Correlation
materials 0,1.0,0.29,-0.31,0.07,-0.0,0.08,0.11,-0.23,-0.53,0.17,0.065
materials 1,0.29,1.0,0.1,0.22,0.25,-0.22,0.5,-0.51,-0.42,-0.2,0.10100000000000002
materials 2,-0.31,0.1,1.0,0.09,0.26,-0.42,-0.31,-0.05,-0.39,-0.22,-0.02499999999999999
materials 3,0.07,0.22,0.09,1.0,-0.4,0.42,-0.44,-0.05,-0.34,0.0,0.05700000000000001
materials 4,-0.0,0.25,0.26,-0.4,1.0,-0.74,0.42,0.23,-0.26,-0.2,0.05600000000000001
materials 5,0.08,-0.22,-0.42,0.42,-0.74,1.0,-0.33,0.16,0.1,-0.2,-0.015000000000000003
materials 6,0.11,0.5,-0.31,-0.44,0.42,-0.33,1.0,-0.42,-0.09,-0.35,0.009000000000000008
materials 7,-0.23,-0.51,-0.05,-0.05,0.23,0.16,-0.42,1.0,0.19,-0.18,0.014000000000000012
materials 8,-0.53,-0.42,-0.39,-0.34,-0.26,0.1,-0.09,0.19,1.0,0.43,-0.031
materials 9,0.17,-0.2,-0.22,0.0,-0.2,-0.2,-0.35,-0.18,0.43,1.0,0.024999999999999977
