,materials 0,materials 1,materials 2,materials 3,materials 4,materials 5,materials 6,materials 7,materials 8,materials 9,materials 10,Average Correlation
materials 0,1.0,1.0,-0.13,0.33,0.0,0.01,0.67,-0.52,0.33,0.93,1.0,0.4200000000000001
materials 1,1.0,1.0,-0.13,0.33,0.0,0.01,0.67,-0.52,0.33,0.93,1.0,0.4200000000000001
materials 2,-0.13,-0.13,1.0,0.04,0.17,0.25,0.04,0.4,0.23,-0.11,-0.13,0.14818181818181816
materials 3,0.33,0.33,0.04,1.0,0.37,0.02,0.59,-0.46,0.8,0.53,0.33,0.3527272727272728
materials 4,0.0,0.0,0.17,0.37,1.0,-0.55,0.37,0.15,0.55,-0.0,-0.0,0.18727272727272729
materials 5,0.01,0.01,0.25,0.02,-0.55,1.0,-0.44,-0.15,-0.29,0.03,0.01,-0.009090909090909087
materials 6,0.67,0.67,0.04,0.59,0.37,-0.44,1.0,-0.29,0.8,0.73,0.67,0.4372727272727273
materials 7,-0.52,-0.52,0.4,-0.46,0.15,-0.15,-0.29,1.0,-0.29,-0.71,-0.52,-0.17363636363636364
materials 8,0.33,0.33,0.23,0.8,0.55,-0.29,0.8,-0.29,1.0,0.53,0.33,0.39272727272727276
materials 9,0.93,0.93,-0.11,0.53,-0.0,0.03,0.73,-0.71,0.53,1.0,0.93,0.4354545454545455
materials 10,1.0,1.0,-0.13,0.33,-0.0,0.01,0.67,-0.52,0.33,0.93,1.0,0.4200000000000001
