,wc 0,wc 1,wc 2,wc 3,wc 4,wc 5,wc 6,wc 7,wc 8,wc 9,Average Correlation
wc 0,1.0,0.0,-0.0,-0.22,0.29,0.27,0.29,-0.26,-0.16,-0.13,0.10800000000000001
wc 1,0.0,1.0,0.33,-0.34,-0.67,-0.27,-0.1,-0.13,0.16,-0.13,-0.015000000000000017
wc 2,-0.0,0.33,1.0,-0.56,-0.35,-0.09,0.35,-0.43,-0.16,-0.13,-0.004000000000000001
wc 3,-0.22,-0.34,-0.56,1.0,0.11,-0.15,-0.32,0.29,0.52,0.14,0.04699999999999999
wc 4,0.29,-0.67,-0.35,0.11,1.0,0.23,-0.17,0.37,-0.19,0.33,0.095
wc 5,0.27,-0.27,-0.09,-0.15,0.23,1.0,0.41,-0.35,-0.13,0.24,0.11600000000000002
wc 6,0.29,-0.1,0.35,-0.32,-0.17,0.41,1.0,-0.87,-0.1,-0.09,0.04
wc 7,-0.26,-0.13,-0.43,0.29,0.37,-0.35,-0.87,1.0,0.2,-0.17,-0.034999999999999996
wc 8,-0.16,0.16,-0.16,0.52,-0.19,-0.13,-0.1,0.2,1.0,0.02,0.11599999999999999
wc 9,-0.13,-0.13,-0.13,0.14,0.33,0.24,-0.09,-0.17,0.02,1.0,0.10800000000000001
