,wc 0,wc 1,wc 2,wc 3,wc 4,wc 5,wc 6,wc 7,wc 8,wc 9,wc 10,Average Correlation
wc 0,1.0,1.0,-0.15,0.19,0.53,0.23,0.27,0.27,0.27,0.68,1.0,0.4809090909090909
wc 1,1.0,1.0,-0.15,0.19,0.53,0.23,0.27,0.27,0.27,0.68,1.0,0.4809090909090909
wc 2,-0.15,-0.15,1.0,0.3,-0.08,-0.14,-0.0,0.42,-0.0,-0.0,-0.15,0.09545454545454546
wc 3,0.19,0.19,0.3,1.0,-0.2,-0.0,0.76,0.81,0.76,0.52,0.19,0.41090909090909095
wc 4,0.53,0.53,-0.08,-0.2,1.0,0.09,-0.2,-0.31,-0.2,0.35,0.53,0.18545454545454546
wc 5,0.23,0.23,-0.14,-0.0,0.09,1.0,-0.0,-0.17,-0.0,0.23,0.23,0.15454545454545454
wc 6,0.27,0.27,-0.0,0.76,-0.2,-0.0,1.0,0.63,1.0,0.11,0.27,0.3736363636363636
wc 7,0.27,0.27,0.42,0.81,-0.31,-0.17,0.63,1.0,0.63,0.45,0.27,0.38818181818181813
wc 8,0.27,0.27,-0.0,0.76,-0.2,-0.0,1.0,0.63,1.0,0.11,0.27,0.3736363636363636
wc 9,0.68,0.68,-0.0,0.52,0.35,0.23,0.11,0.45,0.11,1.0,0.68,0.4372727272727273
wc 10,1.0,1.0,-0.15,0.19,0.53,0.23,0.27,0.27,0.27,0.68,1.0,0.4809090909090909
