,wc 0,wc 1,wc 2,wc 3,wc 4,wc 5,wc 6,wc 7,wc 8,wc 9,Average Correlation
wc 0,1.0,0.04,0.27,0.44,0.49,-0.62,0.51,0.14,-0.14,0.18,0.231
wc 1,0.04,1.0,-0.45,0.48,0.37,0.04,-0.04,-0.3,-0.65,-0.24,0.025000000000000012
wc 2,0.27,-0.45,1.0,-0.32,-0.29,0.27,0.39,0.5,0.16,0.48,0.20099999999999998
wc 3,0.44,0.48,-0.32,1.0,0.56,-0.35,0.05,-0.29,-0.26,0.11,0.142
wc 4,0.49,0.37,-0.29,0.56,1.0,-0.58,0.41,-0.64,-0.31,0.15,0.11599999999999999
wc 5,-0.62,0.04,0.27,-0.35,-0.58,1.0,-0.51,-0.05,0.14,0.0,-0.06599999999999999
wc 6,0.51,-0.04,0.39,0.05,0.41,-0.51,1.0,0.17,-0.33,0.65,0.22999999999999998
wc 7,0.14,-0.3,0.5,-0.29,-0.64,-0.05,0.17,1.0,0.14,0.05,0.072
wc 8,-0.14,-0.65,0.16,-0.26,-0.31,0.14,-0.33,0.14,1.0,0.18,-0.007000000000000001
wc 9,0.18,-0.24,0.48,0.11,0.15,0.0,0.65,0.05,0.18,1.0,0.256
