,wc 0,wc 1,wc 2,wc 3,wc 4,wc 5,wc 6,wc 7,wc 8,wc 9,wc 10,Average Correlation
wc 0,1.0,0.27,0.34,0.04,0.18,0.39,0.23,0.18,0.6,0.28,0.91,0.4018181818181818
wc 1,0.27,1.0,-0.24,0.06,0.09,0.45,0.05,0.09,-0.1,-0.23,0.16,0.14545454545454545
wc 2,0.34,-0.24,1.0,-0.18,0.11,-0.44,0.45,0.11,0.44,0.78,0.15,0.2290909090909091
wc 3,0.04,0.06,-0.18,1.0,0.88,0.71,-0.27,0.88,-0.65,-0.24,0.35,0.2345454545454545
wc 4,0.18,0.09,0.11,0.88,1.0,0.49,-0.07,1.0,-0.51,-0.03,0.37,0.3190909090909091
wc 5,0.39,0.45,-0.44,0.71,0.49,1.0,-0.18,0.49,-0.37,-0.52,0.62,0.24000000000000002
wc 6,0.23,0.05,0.45,-0.27,-0.07,-0.18,1.0,-0.07,0.14,0.31,-0.03,0.14181818181818182
wc 7,0.18,0.09,0.11,0.88,1.0,0.49,-0.07,1.0,-0.51,-0.03,0.37,0.3190909090909091
wc 8,0.6,-0.1,0.44,-0.65,-0.51,-0.37,0.14,-0.51,1.0,0.53,0.4,0.0881818181818182
wc 9,0.28,-0.23,0.78,-0.24,-0.03,-0.52,0.31,-0.03,0.53,1.0,0.07,0.17454545454545456
wc 10,0.91,0.16,0.15,0.35,0.37,0.62,-0.03,0.37,0.4,0.07,1.0,0.3972727272727273
