Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",43.35
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",44.67
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.6
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",34.86
"Based on previous validations and the knowledge of design principles, the next unique suggestion for an improved formulation would be:

The formulation is Powderkg = 430, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",54.31
"Based on the previous suggestions and the knowledge of design principles, the next unique suggestion for an improved formulation would be:

The formulation is Powderkg = 390, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.18
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",54.38
"Based on the previous suggestions and the knowledge of design principles, the next unique suggestion for an improved formulation would be:

The formulation is Powderkg = 380, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",56.66
"Based on the previous suggestions and the knowledge of design principles, the next unique suggestion for an improved formulation would be:

The formulation is Powderkg = 360, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",42.56
"Based on the previous suggestions and the knowledge of design principles, the next unique suggestion for an improved formulation would be:

The formulation is Powderkg = 450, wc = 0.6, materials = 0.5/0.5, curing = Ambient curing.",47.64
