Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
26.0,420.0,231.0,0.55,16.8,1733.0,0.5,0.5,25.0,46.48
90.0,380.0,209.0,0.55,15.2,1795.0,0.6,0.4,25.0,46.12
67.0,420.0,252.0,0.6,16.8,1712.0,0.5,0.5,60.0,49.44
148.0,430.0,193.5,0.45,17.2,1760.5,0.6,0.4,60.0,58.03
109.0,430.0,215.0,0.5,17.2,1739.0,0.6,0.4,25.0,51.04
28.0,430.0,193.5,0.45,17.2,1760.5,0.5,0.5,25.0,54.14
120.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,60.0,55.57
136.0,400.0,180.0,0.45,16.0,1804.0,0.6,0.4,60.0,57.75
112.0,440.0,198.0,0.45,17.6,1746.0,0.6,0.4,25.0,45.96
133.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,60.0,59.86
93.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,25.0,48.75
53.0,390.0,195.0,0.5,15.6,1799.0,0.5,0.5,60.0,64.76
