Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
111.0,430.0,258.0,0.6,17.2,1696.0,0.6,0.4,25.0,46.27
38.0,450.0,247.5,0.55,18.0,1686.5,0.5,0.5,25.0,48.45
182.0,410.0,225.5,0.55,16.4,1748.5,0.7,0.3,25.0,26.95
1.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,25.0,59.79
12.0,390.0,175.5,0.45,15.6,1818.5,0.5,0.5,25.0,56.1
81.0,360.0,180.0,0.5,14.4,1844.0,0.6,0.4,25.0,47.92
5.0,370.0,185.0,0.5,14.8,1829.0,0.5,0.5,25.0,59.88
6.0,370.0,203.5,0.55,14.8,1810.5,0.5,0.5,25.0,50.73
13.0,390.0,195.0,0.5,15.6,1799.0,0.5,0.5,25.0,60.08
28.0,430.0,193.5,0.45,17.2,1760.5,0.5,0.5,25.0,54.14
17.0,400.0,200.0,0.5,16.0,1784.0,0.5,0.5,25.0,60.18
53.0,390.0,195.0,0.5,15.6,1799.0,0.5,0.5,60.0,64.76
49.0,380.0,190.0,0.5,15.2,1814.0,0.5,0.5,60.0,64.93
61.0,410.0,205.0,0.5,16.4,1769.0,0.5,0.5,60.0,64.43
