Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
121.0,360.0,180.0,0.5,14.4,1844.0,0.6,0.4,60.0,57.37
80.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,25.0,43.32
234.0,440.0,242.0,0.55,17.6,1702.0,0.7,0.3,60.0,33.95
206.0,370.0,203.5,0.55,14.8,1810.5,0.7,0.3,60.0,33.49
13.0,390.0,195.0,0.5,15.6,1799.0,0.5,0.5,25.0,60.08
32.0,440.0,198.0,0.45,17.6,1746.0,0.5,0.5,25.0,51.9
19.0,400.0,240.0,0.6,16.0,1744.0,0.5,0.5,25.0,47.28
135.0,390.0,234.0,0.6,15.6,1760.0,0.6,0.4,60.0,53.96
113.0,440.0,220.0,0.5,17.6,1724.0,0.6,0.4,25.0,50.89
208.0,380.0,171.0,0.45,15.2,1833.0,0.7,0.3,60.0,41.15
