Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
231.0,430.0,258.0,0.6,17.2,1696.0,0.7,0.3,60.0,27.77
133.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,60.0,59.86
186.0,420.0,231.0,0.55,16.8,1733.0,0.7,0.3,25.0,26.17
90.0,380.0,209.0,0.55,15.2,1795.0,0.6,0.4,25.0,46.12
61.0,410.0,205.0,0.5,16.4,1769.0,0.5,0.5,60.0,64.43
194.0,440.0,242.0,0.55,17.6,1702.0,0.7,0.3,25.0,25.88
190.0,430.0,236.5,0.55,17.2,1717.5,0.7,0.3,25.0,26.01
174.0,390.0,214.5,0.55,15.6,1779.5,0.7,0.3,25.0,28.6
147.0,420.0,252.0,0.6,16.8,1712.0,0.6,0.4,60.0,56.64
93.0,390.0,195.0,0.5,15.6,1799.0,0.6,0.4,25.0,48.75
