,configuration,mean_std,max_std,min_std,avg_std_gradient,initial_std,halftime_std,final_std
0,None 0.0 0,1.6098074423217756,1.9518001458970664,1.1029770173473463,-0.03,1.9518001458970664,1.6538959550581227,1.654626820585189
1,None 0.0 1,1.465789805568256,1.7116087032026384,1.1472336223964472,-0.03,1.7116087032026384,1.1472336223964472,1.4173738267901577
2,None 0.7 0,1.5901391310773367,1.8453134132367977,1.3633098200830105,0.04,1.4889013489948757,1.6658472601093706,1.8453134132367977
3,None 0.7 1,1.4492631739204778,1.777023512860204,1.0994086961050937,0.03,1.2422453360286432,1.5449657718800678,1.4783127782825303
4,Specific 0.0 0,1.0653532838058561,1.4638501094228,0.0,0.18,0.0,1.7237850130861175e-16,1.4638501094228
5,Specific 0.0 1,1.1937459285353182,1.5042061591627005,0.512989176042577,0.04,0.512989176042577,1.3373757334751746,0.8951548192241077
6,Specific 0.7 0,1.4257876570146848,1.7061190882194035,0.7380436635077574,0.08,0.7380436635077574,1.4326963955775975,1.4945745452108978
7,Specific 0.7 1,1.2271635657919724,1.391735191018038,0.4434153268694929,0.1,0.4434153268694929,1.3811451436892273,1.326502109439836
8,Generic 0.0 0,1.2993178425734488,1.9767019288231475,0.8059194160571543,-0.03,1.4361406616345072,1.244677912946914,1.1728523322357516
9,Generic 0.0 1,1.1431922800978636,1.7325999175976277,0.5163977794943222,0.12,0.5163977794943222,1.7325999175976277,1.5603638289147792
10,Generic 0.7 0,1.388664749044034,1.5249615178302776,1.1090321667830065,0.01,1.4306274022899206,1.3183209543086896,1.5249615178302776
11,Generic 0.7 1,1.153864796178775,1.471332234344757,0.9671550936863187,0.03,1.1847737331797863,1.393874284043936,1.471332234344757
