,configuration,mean_std,max_std,min_std,avg_std_gradient,initial_std,halftime_std,final_std
0,None 0.0 0,0.8386573535912843,0.9746341098475728,0.548814560689254,-0.00034738386193968986,0.88068424773446,0.9235285173893608,0.8775577929770028
1,None 0.0 1,0.8823852004743815,0.9654041906515717,0.7180718832168584,-0.007623766589769858,0.9654041906515717,0.7486493823648948,0.896790291343643
2,None 0.7 0,0.9461445446004907,1.02022562751541,0.8758394563002193,0.013055127485008663,0.902729480150332,0.9805416518114136,1.02022562751541
3,None 0.7 1,0.8429696411618094,0.9390019345031694,0.6568961345084021,0.027430535390153388,0.6632498567370665,0.9210151151314361,0.910124675248447
4,Specific 0.0 0,0.4933250815673669,0.8916116565153167,0.0,0.10776623903304285,0.0,0.0,0.8621299122643428
5,Specific 0.0 1,0.6809039458744368,0.8783724623398641,0.21560440805089096,0.03868511068365161,0.21560440805089096,0.8783724623398641,0.5637704042037555
6,Specific 0.7 0,0.8797292917927374,0.9574519377268813,0.6836210113309678,0.02350473970188569,0.6836210113309678,0.8892466366356611,0.895163668647939
7,Specific 0.7 1,0.7547252903461454,0.8688576843610196,0.33384668367552534,0.045709444223031,0.33384668367552534,0.8538376743835205,0.7452316816828043
8,Generic 0.0 0,0.6907091040075478,0.8989117724816629,0.491614194560157,0.006229517047394027,0.8123472970463174,0.662875746137309,0.8684129504728636
9,Generic 0.0 1,0.6195293042859391,0.8546058938543829,0.389432724572178,0.049201780752605805,0.4117898670809307,0.796689327100564,0.8546058938543829
10,Generic 0.7 0,0.8041478322010969,0.8953185290295704,0.5518687153470601,0.017232694552300018,0.7402242780588703,0.8180776645900556,0.8953185290295704
11,Generic 0.7 1,0.6613628841777456,0.8606791862255646,0.5670275504645014,0.02096993582275554,0.6719497638207648,0.7988193926760963,0.8606791862255646
