Model Name,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Avg Performance (Rounds 1-5),Avg Performance (Rounds 6-10)
gpt-3.5-turbonone Temp. = 0.0,96.36674968866751,96.36674968866751,96.36674968866751,96.36674968866751,96.36674968866751,96.36674968866751,96.36674968866751,96.36674968866751,96.36674968866751,96.43524283935244,96.36674968866751,96.3804483188045
gpt-3.5-turbonone Temp. = 0.2,92.9996886674969,93.34838107098382,94.1983188044832,94.1983188044832,95.75031133250312,95.75031133250312,95.75031133250312,95.75031133250312,95.75031133250312,95.75031133250312,94.09900373599002,95.75031133250312
gpt-3.5-turbonone Temp. = 0.4,60.03113325031134,69.8972602739726,83.44178082191782,89.42403486924036,91.41656288916565,91.85398505603986,91.85398505603986,91.85398505603986,91.85398505603986,95.07004981320051,78.84215442092155,92.497198007472
gpt-3.5-turbonone Temp. = 0.6,51.13792029887921,78.66905354919054,86.42901618929017,86.42901618929017,89.98287671232877,90.1914694894147,90.1914694894147,90.1914694894147,90.1914694894147,90.1914694894147,78.52957658779577,90.1914694894147
gpt-3.5-turbonone Temp. = 1.0,50.0,73.61145703611456,86.61581569115816,86.61581569115816,88.200498132005,88.200498132005,88.200498132005,88.200498132005,88.200498132005,90.41407222914073,77.00871731008718,88.64321295143215
gpt-3.5-turbogeneric Temp. = 0.0,87.79732254047323,88.04483188044833,88.04483188044833,88.16936488169365,88.16936488169365,88.16936488169365,93.82938978829391,93.82938978829391,93.82938978829391,94.45828144458282,88.04514321295144,92.82316313823165
gpt-3.5-turbogeneric Temp. = 0.2,85.5697384806974,88.04483188044833,88.04483188044833,88.04483188044833,88.04483188044833,88.04483188044833,93.1164383561644,93.1164383561644,93.1164383561644,94.3804483188045,87.54981320049815,92.3549190535492
gpt-3.5-turbogeneric Temp. = 0.4,83.02615193026152,88.04483188044833,88.04483188044833,88.04483188044833,88.04483188044833,90.46855541718556,90.46855541718556,95.62110834371109,95.62110834371109,95.62110834371109,87.04109589041096,93.56008717310087
gpt-3.5-turbogeneric Temp. = 0.6,60.13387297633874,88.04483188044833,88.04483188044833,88.04483188044833,88.04483188044833,93.24252801992529,93.24252801992529,93.24252801992529,93.24252801992529,93.94302615193027,82.46264009962641,93.38262764632628
gpt-3.5-turbogeneric Temp. = 1.0,66.16749688667498,83.81693648816938,89.1796388542964,89.1796388542964,89.1796388542964,89.1796388542964,92.6681195516812,92.6681195516812,92.9623287671233,92.9623287671233,83.5046699875467,92.08810709838107
gpt-3.5-turbo_prompt Temp. = 0.0,67.7148194271482,68.04171855541719,80.39383561643837,81.60024906600249,89.72135740971358,89.72135740971358,89.72135740971358,90.65379825653798,90.65379825653798,90.65379825653798,77.49439601494396,90.28082191780823
gpt-3.5-turbo_prompt Temp. = 0.2,67.6914694894147,69.38667496886676,70.02646326276465,84.00996264009963,89.72135740971358,94.0021793275218,96.23754669987548,96.43524283935244,96.43524283935244,96.43524283935244,76.16718555417187,95.90909090909092
gpt-3.5-turbo_prompt Temp. = 0.4,65.80635118306351,70.38138231631383,70.38138231631383,80.15099626400998,84.24968866749688,90.98848069738482,90.98848069738482,93.48536737235368,93.82004981320051,93.82004981320051,74.19396014943962,92.62048567870487
gpt-3.5-turbo_prompt Temp. = 0.6,65.37204234122044,69.40691158156913,69.8972602739726,78.3904109589041,82.24626400996264,88.28300124533003,88.28300124533003,93.27054794520548,94.0862391033624,94.0862391033624,73.0625778331258,91.60180572851807
gpt-3.5-turbo_prompt Temp. = 1.0,58.983499377335,75.30666251556663,78.35772104607723,78.35772104607723,88.25809464508094,88.25809464508094,89.22478206724783,89.22478206724783,89.22478206724783,91.69053549190537,75.85273972602741,89.52459526774597
Gaussian Process Regression,77.56849315068494,84.65130759651308,86.19240348692404,86.86176836861769,86.89290161892902,89.06444582814447,93.07285180572852,93.07285180572852,93.07285180572852,93.07285180572852,84.43337484433376,92.27117061021173
Random Forest,67.51867995018681,79.70890410958904,83.11021170610212,87.25404732254047,89.83810709838109,91.73412204234123,93.04483188044833,93.34993773349937,93.82004981320051,93.83561643835617,81.48599003735991,93.15691158156912
XXX Baseline (Random Draw),43.228518057285186,63.751556662515576,73.41843088418432,75.3362391033624,81.56911581569116,82.48287671232877,82.79109589041097,84.6419676214197,86.61270236612702,87.64321295143213,67.46077210460774,84.83437110834373
