Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
94.0,390.0,214.5,0.55,15.6,1779.5,0.6,0.4,25.0,45.75
227.0,420.0,252.0,0.6,16.8,1712.0,0.7,0.3,60.0,26.89
71.0,430.0,258.0,0.6,17.2,1696.0,0.5,0.5,60.0,50.93
151.0,430.0,258.0,0.6,17.2,1696.0,0.6,0.4,60.0,54.31
0.0,360.0,162.0,0.45,14.4,1862.0,0.5,0.5,25.0,55.37
1.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,25.0,59.79
159.0,450.0,270.0,0.6,18.0,1664.0,0.6,0.4,60.0,49.83
155.0,440.0,264.0,0.6,17.6,1680.0,0.6,0.4,60.0,51.98
119.0,450.0,270.0,0.6,18.0,1664.0,0.6,0.4,25.0,45.68
147.0,420.0,252.0,0.6,16.8,1712.0,0.6,0.4,60.0,56.64
143.0,410.0,246.0,0.6,16.4,1728.0,0.6,0.4,60.0,55.78
115.0,440.0,264.0,0.6,17.6,1680.0,0.6,0.4,25.0,46.01
111.0,430.0,258.0,0.6,17.2,1696.0,0.6,0.4,25.0,46.27
107.0,420.0,252.0,0.6,16.8,1712.0,0.6,0.4,25.0,46.57
