Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",61.51
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.52
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",31.24
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",59.75
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",57.2
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.5
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",45.38
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",49.91
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",28.65
"The formulation is Powderkg = 380, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",47.91
