Formulation,Compressive Strength
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",43.5
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",43.71
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",52.42
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.52
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",58.29
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.16
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.92
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",45.68
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.35
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.93
