Formulation,Compressive Strength
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.7/0.3, curing = Heat curing",32.59
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing",48.75
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",54.97
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.19
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.06
"The formulation is Powderkg = 380, wc = 0.6, materials = 0.5/0.5, curing = Ambient curing.",46.98
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",58.8
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing. ",43.35
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",46.01
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.28
