Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
52.0,390.0,175.5,0.45,15.6,1818.5,0.5,0.5,60.0,59.73
7.0,370.0,222.0,0.6,14.8,1792.0,0.5,0.5,25.0,46.84
130.0,380.0,209.0,0.55,15.2,1795.0,0.6,0.4,60.0,55.26
78.0,450.0,247.5,0.55,18.0,1686.5,0.5,0.5,60.0,54.38
120.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,60.0,55.57
8.0,380.0,171.0,0.45,15.2,1833.0,0.5,0.5,25.0,55.85
12.0,390.0,175.5,0.45,15.6,1818.5,0.5,0.5,25.0,56.1
64.0,420.0,189.0,0.45,16.8,1775.0,0.5,0.5,60.0,57.54
132.0,390.0,175.5,0.45,15.6,1818.5,0.6,0.4,60.0,57.2
56.0,400.0,180.0,0.45,16.0,1804.0,0.5,0.5,60.0,58.98
18.0,400.0,220.0,0.55,16.0,1764.0,0.5,0.5,25.0,48.14
60.0,410.0,184.5,0.45,16.4,1789.5,0.5,0.5,60.0,58.24
40.0,360.0,162.0,0.45,14.4,1862.0,0.5,0.5,60.0,61.96
