Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
148.0,430.0,193.5,0.45,17.2,1760.5,0.6,0.4,60.0,58.03
213.0,390.0,195.0,0.5,15.6,1799.0,0.7,0.3,60.0,43.03
207.0,370.0,222.0,0.6,14.8,1792.0,0.7,0.3,60.0,28.3
6.0,370.0,203.5,0.55,14.8,1810.5,0.5,0.5,25.0,50.73
100.0,410.0,184.5,0.45,16.4,1789.5,0.6,0.4,25.0,45.48
225.0,420.0,210.0,0.5,16.8,1754.0,0.7,0.3,60.0,43.5
80.0,360.0,162.0,0.45,14.4,1862.0,0.6,0.4,25.0,43.32
31.0,430.0,258.0,0.6,17.2,1696.0,0.5,0.5,25.0,47.59
140.0,410.0,184.5,0.45,16.4,1789.5,0.6,0.4,60.0,58.29
3.0,360.0,216.0,0.6,14.4,1808.0,0.5,0.5,25.0,46.68
